,name,max_acc,min_acc,x_peak,x_resultant_percentage,punchTime,push1Period,secondaryPushAmpl,secondaryPushDiff,std,mean,skewness,kurtosis,max_phase,dominant_frequency,total_energy,spectral_centroid,max_spectral_density,mean_spectral_density,mean_frequency_gaps,max_acc_2,min_acc_2,punchTime2,std2,mean2,skewness2,kurtosis2,max_phase2,dominant_frequency2,total_energy2,spectral_centroid2,max_spectral_density2,mean_spectral_density2,mean_frequency_gaps2
114,ReniBalkez,37.068361,-54.087893,7.494141,2.81065029114583,0.12844,0.02717,-4.53125,0.601563,6.2618595341115,3.87353847419355,5.29114193014484,35.0075698007336,3.14159265358979,28.3870967741935,5210079.29156967,-0.0222989894769407,5.85217833931705,0.722448731457835,0.00835160246372249,16.431641,-16.707032,0.222268,2.73201067841581,1.04098424516129,3.77821580719302,17.8726653015423,3.14159265358979,100.645161290323,821417.685437162,-0.000252975647728109,4.75966454147979,0.286362907413298,0.00835160246372249
115,ReniBalkez,41.652346,-53.066409,2.025391,0.852972222789856,0.127205,0.025935,-3.808594,0.146484,6.63987469216257,3.89019676774194,4.87326231509092,29.701618096377,3.14159265358979,41.2903225806452,5691192.57134154,-0.0225303278329353,7.48990327753701,0.797348120029074,0.00835160246372249,13.501954,-19.767579,0.143676,2.56977263037573,0.879788396774194,4.26194154161336,23.6873482056646,3.14159265358979,100.645161290323,709002.639412456,-0.000337139160119082,4.34764619666313,0.24679066575344,0.00835160246372249
116,ReniBalkez,42.562502,-55.814456,-2.388672,1.03390614617837,0.12597,0.025935,-8.808594,0.154297000000001,6.93580885876281,4.0173452,4.80604675893036,29.1064468876501,3.14159265358979,43.8709677419355,6173897.12089868,-0.0214300367971911,7.62216940303407,0.819040804390647,0.00835160246372249,14.048829,-14.966798,0.248056,2.57412428957399,1.12208929677419,3.40338152646695,14.9189397104618,3.14159265358979,100.645161290323,757767.743843369,-0.00173082517104943,5.34288714112752,0.270777862829776,0.00835160246372249
117,ReniBalkez,40.685549,-53.833987,1.789063,0.735669075707402,0.127205,0.025935,-3.980469,0.896484000000001,6.5846125959817,3.85155009677419,4.88033005643287,29.89272825539,3.13562638496333,41.2903225806452,5592209.03008244,-0.0139300331580474,6.9626807633093,0.780698056730268,0.00835160246372249,12.773438,-21.156251,0.218584,1.99512659488983,0.801020761290323,3.98442535739026,20.1340875415762,3.14159265358979,100.645161290323,444189.997845829,-0.0113503355265828,4.66241373363726,0.242063461065936,0.00835160246372249
118,ReniBalkez,43.865237,-52.74219,-2.037109,0.907194090845239,0.12597,0.025935,-7.515625,0.365235,6.88463155836946,3.88443188709677,4.76569354275182,28.3360617034912,3.12475404899466,41.2903225806452,6004997.12315713,-0.0163373975214001,7.0539459646961,0.795840451105343,0.00835160246372249,12.779297,-15.904298,0.22718,2.64248261670062,1.08311503225806,3.47725135569022,15.4979220735266,3.14159265358979,100.645161290323,783777.430311427,-0.000357719523578312,6.17678819502278,0.289657758055294,0.00835160246372249
119,ReniBalkez,44.845705,-56.476565,4.980469,2.26150523193721,0.127205,0.02717,-6.53125,1.724609,7.06368957343857,3.89958435483871,5.07086363788606,31.2053549993178,3.13426585113334,28.3870967741935,6256347.22577217,-0.0210886730751693,9.9694232170745,0.848569833892795,0.00835160246372249,18.794923,-12.962891,0.1535,2.31896800686973,0.829851416129032,4.07861321899896,22.2768509855974,3.14159265358979,100.645161290323,582968.161613701,-0.000182209597096157,3.80395487308583,0.219592978314954,0.00835160246372249
120,ReniBalkez,39.117189,-53.353518,3.458985,1.37691044139298,0.12597,0.0247,-6.070313,0.291015000000001,6.47955926053772,3.76661435483871,4.90381413033864,30.3388277317217,3.14159265358979,43.8709677419355,5398136.11044502,-0.019917760751924,6.00783009726065,0.746135426904001,0.00835160246372249,13.603516,-21.896485,0.206304,2.93275409938359,1.03523194193548,4.10371283317517,21.7660110588692,3.14159265358979,100.645161290323,929551.446159366,-0.00146397229976695,4.76871844468153,0.280921940287563,0.00835160246372249
121,ReniBalkez,41.763674,-52.681643,-2.105469,0.892301736002011,0.12597,0.025935,-4.150391,0.458984,6.78576309207154,3.78975573548387,4.71387940687866,27.7760205080288,3.12433979203426,41.2903225806452,5805288.49345755,-0.0276201803525348,6.47923845457224,0.773432629662778,0.00835160246372249,13.167969,-14.425782,0.207532,2.15538950667597,0.847605912903226,3.8840984411295,19.1673362348386,3.14159265358979,103.225806451613,515493.826042338,-0.376123212533783,4.11555239238739,0.243040626865145,0.00835160246372249
122,ReniBalkez,37.382814,-56.640628,-3.916016,1.48609597514337,0.127205,0.025935,-8.898438,0.101561999999999,6.72645431071989,3.95975323548387,4.99426544369685,31.8696798884935,3.14159265358979,25.8064516129032,5854876.47822022,-0.0270926209920749,7.68484610522097,0.792932059880583,0.00835160246372249,11.902344,-13.775391,0.194024,2.3971638561974,0.932333751612903,3.37340054182917,14.1389187118937,3.14159265358979,100.645161290323,635763.078751938,-0.0006200832108828,5.67025832051921,0.271289532048064,0.00835160246372249
123,ReniJobbkez,37.076174,-56.417972,-12.167969,4.83363827925554,0.126072,0.025956,-10.767579,4.416015,7.04874107892681,3.66057226451613,4.80510385186239,29.447022409806,3.13540698582596,25.8064516129032,6062424.30375367,-0.00570748772580047,7.02077889515794,0.793711663516418,0.00835160246372249,25.550782,-24.412111,0.168373,3.66224742931355,1.25919868064516,4.22082298030874,22.5115524622908,3.14159265358979,105.806451612903,1441272.9686369,-0.0193434526546888,5.47708262713092,0.359729827249143,0.00835160246372249
124,ReniJobbkez,27.253908,-54.732425,8.783204,2.39743204607325,0.14832,0.048204,-9.449219,6.847657,6.77501756916603,3.43249136451613,4.50918142674066,27.7991034988332,3.14159265358979,41.2903225806452,5543322.84888168,-0.000822995566637069,6.49486989421316,0.753473796490864,0.00835160246372249,27.146486,-29.275392,0.292502,5.19167690797227,2.45211079032258,2.9956715091639,12.0121566751786,3.1389474732353,100.645161290323,3168066.85434422,-0.000616061143645831,14.882267785787,0.619844079898172,0.00835160246372249
