,name,max_acc,min_acc,x_peak,x_resultant_percentage,punchTime,push1Period,secondaryPushAmpl,secondaryPushDiff,std,mean,skewness,kurtosis,max_phase,dominant_frequency,total_energy,spectral_centroid,max_spectral_density,mean_spectral_density,mean_frequency_gaps,max_acc_2,min_acc_2,punchTime2,std2,mean2,skewness2,kurtosis2,max_phase2,dominant_frequency2,total_energy2,spectral_centroid2,max_spectral_density2,mean_spectral_density2,mean_frequency_gaps2
6,Dori,42.433596,-54.142581,-16.589845,7.367085424427206,00.201468,00.028428,-14.808594,1.6699219999999997,7.261211650545328,2.7633695935483873,4.363591157382705,24.498819442962308,3.141592653589793,23.225806451612904,5800731.130492503,-0.0021022551545398145,8.164029767548925,0.8121402308368686,0.008351602463722489,13.896485,-16.144532,00.208930,1.9534413989873314,0.8242944451612902,4.312847855018963,26.273063103399895,3.141592653589793,110.96774193548387,432007.424096889,-0.0007110347576732893,2.1090782349600006,0.15861159688618404,0.008351602463722489
7,Dori,41.658205,-55.076175,-19.738282,8.340470116709009,00.201468,00.028428,-12.675782,4.693358999999999,7.277659598326166,2.922026393548387,4.407052526657921,25.128580477618947,3.141592653589793,25.806451612903224,5910396.734222798,-0.006555872063976215,7.906454194548711,0.8080449558902302,0.008351602463722489,13.562501,-19.466798,00.211388,2.125342557102528,0.8577306838709676,4.610275772480101,30.172183014653587,3.141592653589793,108.38709677419355,504792.4377552561,-0.000936500034751876,2.0969739430661023,0.17748623456810847,0.008351602463722489
8,Dori,38.119142,-56.441409,-27.236329,11.5950534356797,00.207648,00.027192,-17.812501,2.603515999999999,7.7293924821874835,3.5231415903225805,3.9429220713945217,21.278945678253184,3.141592653589793,23.225806451612904,6934194.945159998,-0.008577458653977264,12.376062780527299,0.8930459389472261,0.008351602463722489,14.589844,-23.566407,00.221220,2.9219401895396535,1.2060547967741935,4.0223534535467875,22.57676740880804,3.141592653589793,105.80645161290322,960260.2840950374,-0.0003328284806881948,3.82208056283866,0.26378418312798146,0.008351602463722489
9,Dori,34.691408,-57.580081,-14.097657,5.3230550699099055,00.126072,00.025956,-8.294922,5.6953130000000005,7.4072152354376595,3.7577181838709675,4.231920028942039,24.858745337302715,3.141592653589793,23.225806451612904,6629677.943724804,-0.006743308127254981,17.71750447989057,0.874863067137524,0.008351602463722489,16.013673,-17.992188,00.282670,2.5519278163860264,1.0109060903225806,4.105317949463566,21.192089724508623,3.141592653589793,100.64516129032258,724043.0302059692,-0.000424747970886379,3.7825405815449837,0.25395530239552383,0.008351602463722489
10,Dori,37.39258,-52.033206,-17.041016,6.739471387275922,00.201468,00.027192,-12.492188,3.488282,6.822768735061531,2.5403983516129034,4.714393169659695,28.129011238468536,3.141592653589793,20.64516129032258,5093664.891412726,-0.001704374433732494,8.045784116259846,0.7468525146613477,0.008351602463722489,14.722657,-10.927735,00.228594,1.7950325761917876,0.8551916225806451,3.56327819669098,19.734108206050024,3.141592653589793,100.64516129032258,379930.83691458893,-0.0006008236139289289,2.1306380806878646,0.15719396602948496,0.008351602463722489
11,Dori,35.259767,-51.912112,-15.439454,5.700175261822352,00.211356,00.027192,-7.22461,8.105469,6.5181133460777625,2.4997733709677417,4.726171235691934,28.84535183308862,3.141592653589793,12.903225806451612,4683401.642707432,-0.0006549824973979082,9.723632875392159,0.7036114518262347,0.008351602463722489,16.140626,-13.671876,00.250716,2.34912526219414,1.0842743,3.2071696554977693,14.730965857988217,3.141592653589793,100.64516129032258,643297.2685169529,-0.0013575459631118298,4.611018402146631,0.22531871827078917,0.008351602463722489
12,Dori,43.199221,-51.919924,-14.763673,6.7342432205999385,00.229896,00.025956,-11.494141,2.8808599999999984,6.876104734911866,2.547864319354839,4.775901519140368,28.160695668067444,3.141592653589793,20.64516129032258,5167530.418762144,-0.0022650038454561463,7.11559383129771,0.7434991742078533,0.008351602463722489,16.591798,-9.277344,00.266693,2.032303593509179,0.9882183387096775,3.2908665640837005,17.18870111005507,3.141592653589793,100.64516129032258,490766.687928749,-0.0009556543634439785,4.001392171284237,0.19363563678033066,0.008351602463722489
0,ReniBalkez,41.27344,-50.349612,4.333985,1.7976885716443323,00.128440,00.027170,-1.392578,0.2324219999999999,6.314851072159691,3.6066723193548387,5.085416265712346,31.170356905461176,3.141592653589793,33.54838709677419,5082289.75407293,-0.00837527679163601,7.370914709155254,0.7881228181933431,0.008351602463722489,14.142579,-12.074219,00.160868,1.9820290560638405,0.6474736225806451,4.121835880814113,20.955578723775915,3.141592653589793,103.2258064516129,417810.248144928,-0.0012396283854181234,2.8068438924753276,0.1943896471990186,0.008351602463722489
1,ReniBalkez,32.29883,-54.562503,3.53711,1.1493914921584978,00.128440,00.025935,-1.970703,3.162109,6.598869626440162,3.661542503225806,4.913577219976181,30.544856693439527,3.141592653589793,46.45161290322581,5473084.686954597,-0.007833094421682075,9.09403881317317,0.8677443872600087,0.008351602463722489,14.011719,-9.667969,00.209988,1.5945194901373654,0.6177167967741934,4.4544671081452325,26.868735555739402,3.141592653589793,100.64516129032258,281002.78540725424,-0.0009869490257952073,2.2648746015026497,0.143214190337672,0.008351602463722489
2,ReniBalkez,41.77344,-51.306643,4.464844,1.8715286296995162,00.128440,00.027170,-4.19336,2.140626,6.456149762146423,3.1426790677419354,5.144680682308312,31.469265464645986,3.122945515595053,28.387096774193548,4954752.771659725,-0.025114196358514744,8.1986781968962,0.780848504510865,0.008351602463722489,14.337891,-11.771485,00.202620,1.9270030351372573,0.737140964516129,3.9068739806048605,19.866865083183068,3.141592653589793,100.64516129032258,409070.5516535129,-0.00011570106508723037,3.296849332480928,0.194048159656645,0.008351602463722489
3,ReniBalkez,38.814455,-55.136721,7.574219,3.0012968457714075,00.127205,00.025935,-5.050781,2.2324220000000006,6.425932002901267,3.3964152451612906,5.410893775226495,35.78972491630266,3.141592653589793,25.806451612903224,5076793.731715922,-0.02457014174525448,6.4405082553928406,0.7223668981755202,0.008351602463722489,19.888673,-18.587892,00.217356,3.00936715473763,1.1343373064516127,3.8179819154955377,18.40632803884876,3.141592653589793,98.06451612903226,993963.4336745518,-0.00015307778971697684,5.610090828902507,0.31454657093527705,0.008351602463722489
